Sr. No.,District,State,Zonal Classification,,
1,South Andamans,Andaman And Nicobar Islands,Red Zone,,
2,Nicobars,Andaman And Nicobar Islands,Green Zone,,
3,North And Middle Andaman,Andaman And Nicobar Islands,Green Zone,,
4,Kurnool,Andhra Pradesh,Red Zone,,
5,Guntur,Andhra Pradesh,Red Zone,,
6,Krishna,Andhra Pradesh,Red Zone,,
7,Chittoor,Andhra Pradesh,Red Zone,,
8,Spsr Nellore,Andhra Pradesh,Red Zone,,
9,West Godavari,Andhra Pradesh,Orange Zone,,
10,Y.S.R.,Andhra Pradesh,Orange Zone,,
11,Anantapur,Andhra Pradesh,Orange Zone,,
12,Prakasam,Andhra Pradesh,Orange Zone,,
13,East Godavari,Andhra Pradesh,Orange Zone,,
14,Srikakulam,Andhra Pradesh,Orange Zone,,
15,Visakhapatanam,Andhra Pradesh,Orange Zone,,
16,Vizianagaram,Andhra Pradesh,Green Zone,,
17,Lohit,Arunachal Pradesh,Green Zone,,
18,Changlang,Arunachal Pradesh,Green Zone,,
19,Dibang Valley,Arunachal Pradesh,Green Zone,,
20,East Kameng,Arunachal Pradesh,Green Zone,,
21,East Siang,Arunachal Pradesh,Green Zone,,
22,KurungKumey,Arunachal Pradesh,Green Zone,,
23,Lower Dibang Valley,Arunachal Pradesh,Green Zone,,
24,Lower Subansiri,Arunachal Pradesh,Green Zone,,
25,Papum Pare,Arunachal Pradesh,Green Zone,,
26,Tawang,Arunachal Pradesh,Green Zone,,
27,Tirap,Arunachal Pradesh,Green Zone,,
28,Upper Siang,Arunachal Pradesh,Green Zone,,
29,Upper Subansiri,Arunachal Pradesh,Green Zone,,
30,West Kameng,Arunachal Pradesh,Green Zone,,
31,West Siang,Arunachal Pradesh,Green Zone,,
32,Anjaw,Arunachal Pradesh,Green Zone,,
33,Longding,Arunachal Pradesh,Green Zone,,
34,KraDaadi,Arunachal Pradesh,Green Zone,,
35,Namsai,Arunachal Pradesh,Green Zone,,
36,Siang,Arunachal Pradesh,Green Zone,,
37,Kamle,Arunachal Pradesh,Green Zone,,
38,Lower Siang,Arunachal Pradesh,Green Zone,,
39,PakkeKessang,Arunachal Pradesh,Green Zone,,
40,Leparada,Arunachal Pradesh,Green Zone,,
41,Shi Yomi,Arunachal Pradesh,Green Zone,,
42,Dhubri,Assam,Orange Zone,,
43,Marigaon,Assam,Orange Zone,,
44,Goalpara,Assam,Orange Zone,,
45,Golaghat,Assam,Green Zone,,
46,Karimganj,Assam,Green Zone,,
47,Nalbari,Assam,Green Zone,,
48,Hailakandi,Assam,Green Zone,,
49,Cachar,Assam,Green Zone,,
50,Kamrup,Assam,Green Zone,,
51,Lakhimpur,Assam,Green Zone,,
52,Kamrup Metro,Assam,Green Zone,,
53,South SalmaraMancachar,Assam,Green Zone,,
54,Barpeta,Assam,Green Zone,,
55,Bongaigaon,Assam,Green Zone,,
56,Darrang,Assam,Green Zone,,
57,Dhemaji,Assam,Green Zone,,
58,Dibrugarh,Assam,Green Zone,,
59,Jorhat,Assam,Green Zone,,
60,KarbiAnglong,Assam,Green Zone,,
61,Kokrajhar,Assam,Green Zone,,
62,Nagaon,Assam,Green Zone,,
63,Dima Hasao,Assam,Green Zone,,
64,Sivasagar,Assam,Green Zone,,
65,Sonitpur,Assam,Green Zone,,
66,Tinsukia,Assam,Green Zone,,
67,Chirang,Assam,Green Zone,,
68,Baksa,Assam,Green Zone,,
69,Udalguri,Assam,Green Zone,,
70,Biswanath,Assam,Green Zone,,
71,Majuli,Assam,Green Zone,,
72,Charaideo,Assam,Green Zone,,
73,Hojai,Assam,Green Zone,,
74,West KarbiAnglong,Assam,Green Zone,,
75,Munger,Bihar,Red Zone,,
76,Patna,Bihar,Red Zone,,
77,Rohtas,Bihar,Red Zone,,
78,Buxar,Bihar,Red Zone,,
79,Gaya,Bihar,Red Zone,,
80,Nalanda,Bihar,Orange Zone,,
81,Kaimur (Bhabua),Bihar,Orange Zone,,
82,Siwan,Bihar,Orange Zone,,
83,Gopalganj,Bihar,Orange Zone,,
84,Bhojpur,Bihar,Orange Zone,,
85,Begusarai,Bihar,Orange Zone,,
86,Aurangabad,Bihar,Orange Zone,,
87,Madhubani,Bihar,Orange Zone,,
88,PurbiChamparan,Bihar,Orange Zone,,
89,Bhagalpur,Bihar,Orange Zone,,
90,Arwal,Bihar,Orange Zone,,
91,Saran,Bihar,Orange Zone,,
92,Nawada,Bihar,Orange Zone,,
93,Lakhisarai,Bihar,Orange Zone,,
94,Banka,Bihar,Orange Zone,,
95,Vaishali,Bihar,Orange Zone,,
96,Darbhanga,Bihar,Orange Zone,,
97,Jehanabad,Bihar,Orange Zone,,
98,Madhepura,Bihar,Orange Zone,,
99,Purnia,Bihar,Orange Zone,,
100,Sheikhpura,Bihar,Green Zone,,
101,Araria,Bihar,Green Zone,,
102,Jamui,Bihar,Green Zone,,
103,Katihar,Bihar,Green Zone,,
104,Khagaria,Bihar,Green Zone,,
105,Kishanganj,Bihar,Green Zone,,
106,Muzaffarpur,Bihar,Green Zone,,
107,PashchimChamparan,Bihar,Green Zone,,
108,Saharsa,Bihar,Green Zone,,
109,Samastipur,Bihar,Green Zone,,
110,Sheohar,Bihar,Green Zone,,
111,Sitamarhi,Bihar,Green Zone,,
112,Supaul,Bihar,Green Zone,,
113,Chandigarh,Chandigarh,Red Zone,,
114,Raipur,Chhattisgarh,Red Zone,,
115,Korba,Chhattisgarh,Orange Zone,,
116,Surajpur,Chhattisgarh,Green Zone,,
117,Bilaspur,Chhattisgarh,Green Zone,,
118,Durg,Chhattisgarh,Green Zone,,
119,Rajnandgaon,Chhattisgarh,Green Zone,,
120,Bastar,Chhattisgarh,Green Zone,,
121,Dantewada,Chhattisgarh,Green Zone,,
122,Dhamtari,Chhattisgarh,Green Zone,,
123,Janjgir-Champa,Chhattisgarh,Green Zone,,
124,Jashpur,Chhattisgarh,Green Zone,,
125,Kanker,Chhattisgarh,Green Zone,,
126,Kabirdham,Chhattisgarh,Green Zone,,
127,Korea,Chhattisgarh,Green Zone,,
128,Mahasamund,Chhattisgarh,Green Zone,,
129,Raigarh,Chhattisgarh,Green Zone,,
130,Surguja,Chhattisgarh,Green Zone,,
131,Bijapur,Chhattisgarh,Green Zone,,
132,Narayanpur,Chhattisgarh,Green Zone,,
133,Sukma,Chhattisgarh,Green Zone,,
134,Kondagaon,Chhattisgarh,Green Zone,,
135,Baloda Bazar,Chhattisgarh,Green Zone,,
136,Gariyaband,Chhattisgarh,Green Zone,,
137,Balod,Chhattisgarh,Green Zone,,
138,Mungeli,Chhattisgarh,Green Zone,,
139,Balrampur,Chhattisgarh,Green Zone,,
140,Bemetara,Chhattisgarh,Green Zone,,
141,Dadra And Nagar Haveli,Dadra And Nagar Haveli,Green Zone,,
142,Daman,Daman And Diu,Green Zone,,
143,Diu,Daman And Diu,Green Zone,,
144,South East,Delhi,Red Zone,,
145,Central,Delhi,Red Zone,,
146,North,Delhi,Red Zone,,
147,South,Delhi,Red Zone,,
148,North East,Delhi,Red Zone,,
149,West,Delhi,Red Zone,,
150,Shandara,Delhi,Red Zone,,
151,East,Delhi,Red Zone,,
152,New Delhi,Delhi,Red Zone,,
153,North West,Delhi,Red Zone,,
154,South West,Delhi,Red Zone,,
155,North Goa,Goa,Green Zone,,
156,South Goa,Goa,Green Zone,,
157,Ahmadabad,Gujarat,Red Zone,,
158,Surat,Gujarat,Red Zone,,
159,Vadodara,Gujarat,Red Zone,,
160,Anand,Gujarat,Red Zone,,
161,Banas Kantha,Gujarat,Red Zone,,
162,PanchMahals,Gujarat,Red Zone,,
163,Bhavnagar,Gujarat,Red Zone,,
164,Gandhinagar,Gujarat,Red Zone,,
165,Arvalli,Gujarat,Red Zone,,
166,Rajkot,Gujarat,Orange Zone,,
167,Bharuch,Gujarat,Orange Zone,,
168,Botad,Gujarat,Orange Zone,,
169,Narmada,Gujarat,Orange Zone,,
170,Chhotaudepur,Gujarat,Orange Zone,,
171,Mahisagar,Gujarat,Orange Zone,,
172,Mahesana,Gujarat,Orange Zone,,
173,Patan,Gujarat,Orange Zone,,
174,Kheda,Gujarat,Orange Zone,,
175,Valsad,Gujarat,Orange Zone,,
176,Dohad,Gujarat,Orange Zone,,
177,Kachchh,Gujarat,Orange Zone,,
178,Naysari,Gujarat,Orange Zone,,
179,GirSomnath,Gujarat,Orange Zone,,
180,Dang,Gujarat,Orange Zone,,
181,SabarKantha,Gujarat,Orange Zone,,
182,Tapi,Gujarat,Orange Zone,,
183,Jamnagar,Gujarat,Orange Zone,,
184,Surendranagar,Gujarat,Orange Zone,,
185,Morbi,Gujarat,Green Zone,,
186,Amreli,Gujarat,Green Zone,,
187,Porbandar,Gujarat,Green Zone,,
188,Junagadh,Gujarat,Green Zone,,
189,DevbhumiDwarka,Gujarat,Green Zone,,
190,Sonipat,Haryana,Red Zone,,
191,Faridabad,Haryana,Red Zone,,
192,Gurugram,Haryana,Orange Zone,,
193,Nuh,Haryana,Orange Zone,,
194,Panipat,Haryana,Orange Zone,,
195,Panchkula,Haryana,Orange Zone,,
196,Palwal,Haryana,Orange Zone,,
197,Rohtak,Haryana,Orange Zone,,
